,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
86,CoRoT-27,b,CoRoT-27 b,Transit,0,1,3.57532,10.235523200000001,0.065,86.7,0.009915177,Mass,1.0070000000000001,12.6,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,1035.15,15.54,V (Johnson),15.39,5900.0,1.05,1.08,2014-05-14,CoRoT
87,CoRoT-28,b,CoRoT-28 b,Transit,0,1,5.20851,12.9664296,0.047,88.1,0.0004618812,Mass,0.955,0.69,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560.0,783.18,,,13.412,5150.0,1.01,1.78,2015-04-16,CoRoT
88,CoRoT-29,b,CoRoT-29 b,Transit,0,1,2.85057,8.300235200000001,0.082,87.3,0.000811155,Mass,0.9,1.45,0,0,0,0,18h35m36.50s,278.90210299999995,+06d28m46.7s,6.4796510000000005,765.0,822.62,,,15.239,5260.0,0.97,0.9,2015-04-16,CoRoT
90,CoRoT-30,b,CoRoT-30 b,Transit,0,1,9.06005,18.1487008,0.007,90.0,0.00276747,Mass,1.0090000000000001,3.45,0,0,0,0,18h30m24.264s,277.6011,+06d50m09.424s,6.835951,960.0,1061.07,15.65,V (Johnson),15.413,5650.0,0.98,0.91,2020-04-16,CoRoT
91,CoRoT-31,b,CoRoT-31 b,Transit,0,1,4.62941,12.6008752,0.02,83.2,0.000801612,Mass,1.46,0.33,0,0,0,0,06h19m16.975s,94.820729,-04d25m20.194s,-4.422276,2190.0,2127.54,,,15.465,5700.0,1.25,2.15,2020-04-16,CoRoT
92,CoRoT-4,b,CoRoT-4 b,Transit,0,1,9.20205,19.35288,0.0,90.0,0.000687096,Mass,1.19,0.525,0,0,0,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,741.6,741.6,,,13.561,6190.0,1.16,1.17,2014-05-14,CoRoT
93,CoRoT-5,b,CoRoT-5 b,Transit,0,1,4.0378962,10.63763304,0.09,85.83,0.00044565810000000007,Mass,1.3880000000000001,0.217,0,0,0,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,904.65,904.65,,,13.902000000000001,6100.0,1.0,1.19,2014-05-14,CoRoT
94,CoRoT-6,b,CoRoT-6 b,Transit,0,1,8.886593,18.385236000000003,0.1,89.07,0.0028247280000000003,Mass,1.166,2.32,0,0,0,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,657.24,657.24,13.912,V (Johnson),13.745999999999999,6090.0,1.05,1.02,2014-05-14,CoRoT
96,CoRoT-7,c,CoRoT-7 c,Radial Velocity,0,2,3.698,9.891472,0.0,80.0,2.5222149000000004e-05,Mass,,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,160.64,11.668,V (Johnson),11.524000000000001,5275.0,0.82,0.83,2015-09-10,CoRoT
97,CoRoT-8,b,CoRoT-8 b,Transit,0,1,6.21229,13.547016000000001,0.0,88.4,0.000209946,Mass,0.57,1.6,0,0,0,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380.0,325.03,14.8,V (Johnson),14.22,5080.0,0.88,0.77,2014-05-14,CoRoT
