logg,Teff,Z,L/HP,aLSM,bLSM,aPCM,bPCM,chi2,Type,Mod
3.5,3100,0.0,2.0,0.2131,0.4819,0.1178,0.7188,0.2074,q,PC
4.0,3100,0.0,2.0,0.1758,0.4812,0.1066,0.6622,0.215,q,PC
4.5,3100,0.0,2.0,0.1621,0.4852,0.1173,0.6158,0.2214,q,PC
5.0,3100,0.0,2.0,0.1606,0.4974,0.1454,0.5684,0.2322,q,PC
5.5,3100,0.0,2.0,0.1709,0.5136,0.1788,0.5393,0.2429,q,PC
6.0,3100,0.0,2.0,0.1894,0.5286,0.2149,0.5196,0.2452,q,PC
2.5,3200,0.0,2.0,0.4573,0.3914,0.3584,0.6454,0.2009,q,PC
3.0,3200,0.0,2.0,0.3305,0.4512,0.2334,0.6938,0.1894,q,PC
3.5,3200,0.0,2.0,0.2355,0.4668,0.1353,0.7134,0.2006,q,PC
4.0,3200,0.0,2.0,0.1874,0.466,0.1092,0.6643,0.2076,q,PC
4.5,3200,0.0,2.0,0.1618,0.47,0.1085,0.617,0.2169,q,PC
5.0,3200,0.0,2.0,0.1533,0.4776,0.1298,0.5642,0.2263,q,PC
5.5,3200,0.0,2.0,0.1567,0.492,0.1569,0.532,0.2383,q,PC
6.0,3200,0.0,2.0,0.1711,0.5075,0.1905,0.5097,0.2438,q,PC
2.5,3300,0.0,2.0,0.467,0.3612,0.3491,0.661,0.2077,q,PC
3.0,3300,0.0,2.0,0.3756,0.4071,0.2719,0.6637,0.1898,q,PC
3.5,3300,0.0,2.0,0.2632,0.4472,0.163,0.6939,0.2035,q,PC
